Date,Exam series,Board,Qualification,Examination code,Category,base_subject,Subject,Title,Time,Duration,Tier
16/05/2025,Jun-25,OCR,GCSE,J204/02,Other,Business,Business,"Business 2: operations, finance and influences on business",PM,1h 30m,
19/05/2025,Jun-25,Pearson,GCSE,1CH0 1F,Science,Chemistry,Chemistry,Paper 1,AM,1h 45m,F
19/05/2025,Jun-25,Pearson,GCSE,1CH0 1H,Science,Chemistry,Chemistry,Paper 1,AM,1h 45m,H
13/06/2025,Jun-25,Pearson,GCSE,1CH0 2F,Science,Chemistry,Chemistry,Paper 2,AM,1h 45m,F
13/06/2025,Jun-25,Pearson,GCSE,1CH0 2H,Science,Chemistry,Chemistry,Paper 2,AM,1h 45m,H
19/05/2025,Jun-25,AQA,GCSE,8462/1F,Science,Chemistry,Chemistry,Paper 1,AM,1h 45m,F
19/05/2025,Jun-25,AQA,GCSE,8462/1H,Science,Chemistry,Chemistry,Paper 1,AM,1h 45m,H
13/06/2025,Jun-25,AQA,GCSE,8462/2F,Science,Chemistry,Chemistry,Paper 2,AM,1h 45m,F
13/06/2025,Jun-25,AQA,GCSE,8462/2H,Science,Chemistry,Chemistry,Paper 2,AM,1h 45m,H
19/05/2025,Jun-25,OCR,GCSE,J248/01,Science,Chemistry,Chemistry A (Gateway Science),Paper 1,AM,1h 45m,F
13/06/2025,Jun-25,OCR,GCSE,J248/02,Science,Chemistry,Chemistry A (Gateway Science),Paper 2,AM,1h 45m,F
19/05/2025,Jun-25,OCR,GCSE,J248/03,Science,Chemistry,Chemistry A (Gateway Science),Paper 3,AM,1h 45m,H
13/06/2025,Jun-25,OCR,GCSE,J248/04,Science,Chemistry,Chemistry A (Gateway Science),Paper 4,AM,1h 45m,H
19/05/2025,Jun-25,OCR,GCSE,J258/01,Science,Chemistry,Chemistry B (Twenty First Century Science),Breadth in Chemistry,AM,1h 45m,F
13/06/2025,Jun-25,OCR,GCSE,J258/02,Science,Chemistry,Chemistry B (Twenty First Century Science),Depth in Chemistry,AM,1h 45m,F
19/05/2025,Jun-25,OCR,GCSE,J258/03,Science,Chemistry,Chemistry B (Twenty First Century Science),Breadth in Chemistry,AM,1h 45m,H
13/06/2025,Jun-25,OCR,GCSE,J258/04,Science,Chemistry,Chemistry B (Twenty First Century Science),Depth in Chemistry,AM,1h 45m,H
20/05/2025,Jun-25,OCR,CAMBRIDGE NATIONAL,R057/01,Other,Child Development,Child Development,Health and well-being for child development:Written Paper,PM,1h 15m,
12/05/2025,Jun-25,Pearson,GCSE,1CN0 1F,Languages,Chinese,Chinese,Paper 1: Listening and understanding in Chinese,PM,35m,F
12/05/2025,Jun-25,Pearson,GCSE,1CN0 1H,Languages,Chinese,Chinese,Paper 1: Listening and understanding in Chinese,PM,45m,H
12/05/2025,Jun-25,Pearson,GCSE,1CN0 3F,Languages,Chinese,Chinese,Paper 3: Reading and understanding in Chinese,PM,50m,F
12/05/2025,Jun-25,Pearson,GCSE,1CN0 3H,Languages,Chinese,Chinese,Paper 3: Reading and understanding in Chinese,PM,1h 05m,H
19/05/2025,Jun-25,Pearson,GCSE,1CN0 4F,Languages,Chinese,Chinese,Paper 4: Writing in Chinese,PM,1h 20m,F
19/05/2025,Jun-25,Pearson,GCSE,1CN0 4H,Languages,Chinese,Chinese,Paper 4: Writing in Chinese,PM,1h 25m,H
12/05/2025,Jun-25,AQA,GCSE,8673/LF,Languages,Chinese,Chinese (Mandarin),Listening,PM,35m,F
12/05/2025,Jun-25,AQA,GCSE,8673/LH,Languages,Chinese,Chinese (Mandarin),Listening,PM,45m,H
12/05/2025,Jun-25,AQA,GCSE,8673/RF,Languages,Chinese,Chinese (Mandarin),Reading,PM,45m,F
12/05/2025,Jun-25,AQA,GCSE,8673/RH,Languages,Chinese,Chinese (Mandarin),Reading,PM,1h,H
19/05/2025,Jun-25,AQA,GCSE,8673/SF,Languages,Chinese,Chinese (Mandarin),Speaking test,,,F
19/05/2025,Jun-25,AQA,GCSE,8673/SH,Languages,Chinese,Chinese (Mandarin),Speaking test,,,H
19/05/2025,Jun-25,AQA,GCSE,8673/WF,Languages,Chinese,Chinese (Mandarin),Writing,PM,1h,F
19/05/2025,Jun-25,AQA,GCSE,8673/WH,Languages,Chinese,Chinese (Mandarin),Writing,PM,1h 15m,H
08/05/2025,Jun-25,Pearson,GCSE,1CS0 01,Humanities,Citizenship Studies,Citizenship Studies,Paper 1,PM,1h 45m,
15/05/2025,Jun-25,Pearson,GCSE,1CS0 02,Humanities,Citizenship Studies,Citizenship Studies,Paper 2,PM,1h 45m,
08/05/2025,Jun-25,AQA,GCSE,8100/1,Humanities,Citizenship Studies,Citizenship Studies,Paper 1,PM,1h 45m,
15/05/2025,Jun-25,AQA,GCSE,8100/2,Humanities,Citizenship Studies,Citizenship Studies,Paper 2,PM,1h 45m,
08/05/2025,Jun-25,OCR,GCSE,J270/01,Humanities,Citizenship Studies,Citizenship Studies,Citizenship in perspective,PM,50m,
15/05/2025,Jun-25,OCR,GCSE,J270/02,Humanities,Citizenship Studies,Citizenship Studies,Citizenship in action,PM,1h 45m,
02/06/2025,Jun-25,OCR,GCSE,J270/03,Humanities,Citizenship Studies,Citizenship Studies,"Our rights, our society, our world",AM,1h 00m,
20/05/2025,Jun-25,OCR,GCSE,J199/11,Humanities,Classical Civilisation,Classical Civilisation,Myth and Religion,PM,1h 30m,
20/05/2025,Jun-25,OCR,GCSE,J199/12,Humanities,Classical Civilisation,Classical Civilisation,Women in the Ancient World,PM,1h 30m,
02/06/2025,Jun-25,OCR,GCSE,J199/21,Humanities,Classical Civilisation,Classical Civilisation,The Homeric World,AM,1h 30m,
02/06/2025,Jun-25,OCR,GCSE,J199/22,Humanities,Classical Civilisation,Classical Civilisation,Roman City Life,AM,1h 30m,
02/06/2025,Jun-25,OCR,GCSE,J199/23,Humanities,Classical Civilisation,Classical Civilisation,War and Warfare,AM,1h 30m,
14/05/2025,Jun-25,OCR,GCSE,J292/01,Languages,Classical Greek,Classical Greek,Language,PM,1h 30m,
22/05/2025,Jun-25,OCR,GCSE,J292/02,Languages,Classical Greek,Classical Greek,Prose Literature A,PM,1h 00m,
22/05/2025,Jun-25,OCR,GCSE,J292/03,Languages,Classical Greek,Classical Greek,Prose Literature B,PM,1h 00m,
02/06/2025,Jun-25,OCR,GCSE,J292/04,Languages,Classical Greek,Classical Greek,Verse Literature A,PM,1h 00m,
02/06/2025,Jun-25,OCR,GCSE,J292/05,Languages,Classical Greek,Classical Greek,Verse Literature B,PM,1h 00m,
09/06/2025,Jun-25,OCR,GCSE,J292/06,Languages,Classical Greek,Classical Greek,Literature and Culture,PM,1h 00m,
13/05/2025,Jun-25,Pearson,GCSE,1SC0 1BF,Science,Combined Science,Combined Science,Paper 1: Biology 1,PM,1h 10m,F
13/05/2025,Jun-25,Pearson,GCSE,1SC0 1BH,Science,Combined Science,Combined Science,Paper 1: Biology 1,PM,1h 10m,H
19/05/2025,Jun-25,Pearson,GCSE,1SC0 1CF,Science,Combined Science,Combined Science,Paper 2: Chemistry 1,AM,1h 10m,F
19/05/2025,Jun-25,Pearson,GCSE,1SC0 1CH,Science,Combined Science,Combined Science,Paper 2: Chemistry 1,AM,1h 10m,H
22/05/2025,Jun-25,Pearson,GCSE,1SC0 1PF,Science,Combined Science,Combined Science,Paper 3: Physics 1,AM,1h 10m,F
22/05/2025,Jun-25,Pearson,GCSE,1SC0 1PH,Science,Combined Science,Combined Science,Paper 3: Physics 1,AM,1h 10m,H
09/06/2025,Jun-25,Pearson,GCSE,1SC0 2BF,Science,Combined Science,Combined Science,Paper 4: Biology 2,AM,1h 10m,F
09/06/2025,Jun-25,Pearson,GCSE,1SC0 2BH,Science,Combined Science,Combined Science,Paper 4: Biology 2,AM,1h 10m,H
13/06/2025,Jun-25,Pearson,GCSE,1SC0 2CF,Science,Combined Science,Combined Science,Paper 5: Chemistry 2,AM,1h 10m,F
13/06/2025,Jun-25,Pearson,GCSE,1SC0 2CH,Science,Combined Science,Combined Science,Paper 5: Chemistry 2,AM,1h 10m,H
16/06/2025,Jun-25,Pearson,GCSE,1SC0 2PF,Science,Combined Science,Combined Science,Paper 6: Physics 2,AM,1h 10m,F
16/06/2025,Jun-25,Pearson,GCSE,1SC0 2PH,Science,Combined Science,Combined Science,Paper 6: Physics 2,AM,1h 10m,H
13/05/2025,Jun-25,OCR,GCSE,J250/01,Science,Combined Science,Combined Science A (Gateway Science),Paper 1,PM,1h 10m,F
09/06/2025,Jun-25,OCR,GCSE,J250/02,Science,Combined Science,Combined Science A (Gateway Science),Paper 2,AM,1h 10m,F
19/05/2025,Jun-25,OCR,GCSE,J250/03,Science,Combined Science,Combined Science A (Gateway Science),Paper 3,AM,1h 10m,F
13/06/2025,Jun-25,OCR,GCSE,J250/04,Science,Combined Science,Combined Science A (Gateway Science),Paper 4,AM,1h 10m,F
22/05/2025,Jun-25,OCR,GCSE,J250/05,Science,Combined Science,Combined Science A (Gateway Science),Paper 5,AM,1h 10m,F
16/06/2025,Jun-25,OCR,GCSE,J250/06,Science,Combined Science,Combined Science A (Gateway Science),Paper 6,AM,1h 10m,F
13/05/2025,Jun-25,OCR,GCSE,J250/07,Science,Combined Science,Combined Science A (Gateway Science),Paper 7,PM,1h 10m,H
09/06/2025,Jun-25,OCR,GCSE,J250/08,Science,Combined Science,Combined Science A (Gateway Science),Paper 8,AM,1h 10m,H
19/05/2025,Jun-25,OCR,GCSE,J250/09,Science,Combined Science,Combined Science A (Gateway Science),Paper 9,AM,1h 10m,H
13/06/2025,Jun-25,OCR,GCSE,J250/10,Science,Combined Science,Combined Science A (Gateway Science),Paper 10,AM,1h 10m,H
22/05/2025,Jun-25,OCR,GCSE,J250/11,Science,Combined Science,Combined Science A (Gateway Science),Paper 11,AM,1h 10m,H
16/06/2025,Jun-25,OCR,GCSE,J250/12,Science,Combined Science,Combined Science A (Gateway Science),Paper 12,AM,1h 10m,H
13/05/2025,Jun-25,OCR,GCSE,J260/01,Science,Combined Science,Combined Science B (Twenty First Century Science),Biology,PM,1h 45m,F
19/05/2025,Jun-25,OCR,GCSE,J260/02,Science,Combined Science,Combined Science B (Twenty First Century Science),Chemistry,AM,1h 45m,F
22/05/2025,Jun-25,OCR,GCSE,J260/03,Science,Combined Science,Combined Science B (Twenty First Century Science),Physics,AM,1h 45m,F
09/06/2025,Jun-25,OCR,GCSE,J260/04,Science,Combined Science,Combined Science B (Twenty First Century Science),Combined Science,AM,1h 45m,F
13/05/2025,Jun-25,OCR,GCSE,J260/05,Science,Combined Science,Combined Science B (Twenty First Century Science),Biology,PM,1h 45m,H
19/05/2025,Jun-25,OCR,GCSE,J260/06,Science,Combined Science,Combined Science B (Twenty First Century Science),Chemistry,AM,1h 45m,H
22/05/2025,Jun-25,OCR,GCSE,J260/07,Science,Combined Science,Combined Science B (Twenty First Century Science),Physics,AM,1h 45m,H
09/06/2025,Jun-25,OCR,GCSE,J260/08,Science,Combined Science,Combined Science B (Twenty First Century Science),Combined Science,AM,1h 45m,H
13/05/2025,Jun-25,AQA,GCSE,8465/1F,Science,Combined Science,Combined Science: Synergy,Life and environmental sciences,PM,1h 45m,F
13/05/2025,Jun-25,AQA,GCSE,8465/1H,Science,Combined Science,Combined Science: Synergy,Life and environmental sciences,PM,1h 45m,H
22/05/2025,Jun-25,AQA,GCSE,8465/2F,Science,Combined Science,Combined Science: Synergy,Life and environmental sciences,AM,1h 45m,F
22/05/2025,Jun-25,AQA,GCSE,8465/2H,Science,Combined Science,Combined Science: Synergy,Life and environmental sciences,AM,1h 45m,H
09/06/2025,Jun-25,AQA,GCSE,8465/3F,Science,Combined Science,Combined Science: Synergy,Physical sciences,AM,1h 45m,F
09/06/2025,Jun-25,AQA,GCSE,8465/3H,Science,Combined Science,Combined Science: Synergy,Physical sciences,AM,1h 45m,H
13/06/2025,Jun-25,AQA,GCSE,8465/4F,Science,Combined Science,Combined Science: Synergy,Physical sciences,AM,1h 45m,F
13/06/2025,Jun-25,AQA,GCSE,8465/4H,Science,Combined Science,Combined Science: Synergy,Physical sciences,AM,1h 45m,H
13/05/2025,Jun-25,AQA,GCSE,8464/B/1F,Science,Combined Science,Combined Science: Trilogy,Paper 1: Biology,PM,1h 15m,F
13/05/2025,Jun-25,AQA,GCSE,8464/B/1H,Science,Combined Science,Combined Science: Trilogy,Paper 1: Biology,PM,1h 15m,H
09/06/2025,Jun-25,AQA,GCSE,8464/B/2F,Science,Combined Science,Combined Science: Trilogy,Paper 2: Biology,AM,1h 15m,F
09/06/2025,Jun-25,AQA,GCSE,8464/B/2H,Science,Combined Science,Combined Science: Trilogy,Paper 2: Biology,AM,1h 15m,H
19/05/2025,Jun-25,AQA,GCSE,8464/C/1F,Science,Combined Science,Combined Science: Trilogy,Paper 1: Chemistry,AM,1h 15m,F
19/05/2025,Jun-25,AQA,GCSE,8464/C/1H,Science,Combined Science,Combined Science: Trilogy,Paper 1: Chemistry,AM,1h 15m,H
13/06/2025,Jun-25,AQA,GCSE,8464/C/2F,Science,Combined Science,Combined Science: Trilogy,Paper 2: Chemistry,AM,1h 15m,F
13/06/2025,Jun-25,AQA,GCSE,8464/C/2H,Science,Combined Science,Combined Science: Trilogy,Paper 2: Chemistry,AM,1h 15m,H
22/05/2025,Jun-25,AQA,GCSE,8464/P/1F,Science,Combined Science,Combined Science: Trilogy,Paper 1: Physics,AM,1h 15m,F
22/05/2025,Jun-25,AQA,GCSE,8464/P/1H,Science,Combined Science,Combined Science: Trilogy,Paper 1: Physics,AM,1h 15m,H
16/06/2025,Jun-25,AQA,GCSE,8464/P/2F,Science,Combined Science,Combined Science: Trilogy,Paper 2: Physics,AM,1h 15m,F
16/06/2025,Jun-25,AQA,GCSE,8464/P/2H,Science,Combined Science,Combined Science: Trilogy,Paper 2: Physics,AM,1h 15m,H
12/05/2025,Jun-25,Eduqas,GCSE,C500U10,Other,Computer Science,Computer Science,Component 1,PM,1h 45m,
20/05/2025,Jun-25,Eduqas,GCSE,C500U20,Other,Computer Science,Computer Science,Component 2 (On screen),PM,2h,
12/05/2025,Jun-25,Pearson,GCSE,1CP2 01,Other,Computer Science,Computer Science,Paper 1: Principles of Computer Science,PM,1h 30m,
20/05/2025,Jun-25,Pearson,GCSE,1CP2 02,Other,Computer Science,Computer Science,Paper 2: Application of Computational Thinking (Onscreen using an Integrated Development Environment (IDE) of choice),PM,2h 00m,
12/05/2025,Jun-25,AQA,GCSE,8525/1A,Other,Computer Science,Computer Science,Computational thinking and programming skills (C#),PM,2h,
12/05/2025,Jun-25,AQA,GCSE,8525/1B,Other,Computer Science,Computer Science,Computational thinking and programming skills (Python),PM,2h,
12/05/2025,Jun-25,AQA,GCSE,8525/1C,Other,Computer Science,Computer Science,Computational thinking and programming skills (VB.Net),PM,2h,
20/05/2025,Jun-25,AQA,GCSE,8525/2,Other,Computer Science,Computer Science,Computing concepts,PM,1h 45m,
12/05/2025,Jun-25,OCR,GCSE,J277/01,Other,Computer Science,Computer Science,Computer Systems,PM,1h 30m,
20/05/2025,Jun-25,OCR,GCSE,J277/02,Other,Computer Science,Computer Science,"Computational thinking, algorithms and programming",PM,1h 30m,
09/06/2025,Jun-25,OCR,CAMBRIDGE NATIONAL,R093/01,Arts,Creative iMedia,Creative iMedia,Creative iMedia in the media industry:Written Paper,PM,1h 30m,
07/05/2025,Jun-25,AQA,GCSE,8236/C,Arts,Dance,Dance,Performance and Choreography,,,
02/06/2025,Jun-25,AQA,GCSE,8236/W,Arts,Dance,Dance,Dance appreciation,PM,1h 30m,
18/07/2025,Jun-25,Eduqas,GCSE,C600U10,DT,Design and Technology ,Design and Technology,Component 1,AM,2h,
07/05/2025,Jun-25,AQA,GCSE,8552/C,DT,Design and Technology ,Design and Technology,Non-exam assessment,,,
18/06/2025,Jun-25,AQA,GCSE,8552/W,DT,Design and Technology ,Design and Technology,Written,AM,2h,
18/06/2025,Jun-25,OCR,GCSE,J310/01,DT,Design and Technology ,Design and Technology,Principles of Design and Technology,AM,2h 00m,
18/06/2025,Jun-25,Pearson,GCSE,1DT0 1A,DT,Design and Technology ,Design and Technology ,Component 1: Metals,AM,1h 45m,
18/06/2025,Jun-25,Pearson,GCSE,1DT0 1B,DT,Design and Technology ,Design and Technology ,Component 1: Papers and boards,AM,1h 45m,
18/06/2025,Jun-25,Pearson,GCSE,1DT0 1C,DT,Design and Technology ,Design and Technology ,Component 1: Polymers,AM,1h 45m,
18/06/2025,Jun-25,Pearson,GCSE,1DT0 1D,DT,Design and Technology ,Design and Technology ,Component 1: Systems,AM,1h 45m,
18/06/2025,Jun-25,Pearson,GCSE,1DT0 1E,DT,Design and Technology ,Design and Technology ,Component 1: Textiles,AM,1h 45m,
18/06/2025,Jun-25,Pearson,GCSE,1DT0 1F,DT,Design and Technology ,Design and Technology ,Component 1: Timbers,AM,1h 45m,
08/05/2025,Jun-25,Eduqas,GCSE,C690U30,Arts,Drama,Drama,Component 3,AM,1h 30m,
08/05/2025,Jun-25,Pearson,GCSE,1DR0 03,Arts,Drama,Drama,Component 3: Theatre Makers in Practice,AM,1h 45m,
07/05/2025,Jun-25,AQA,GCSE,8261/C,Arts,Drama,Drama,Non-exam assessment - Devising drama,,,
31/05/2025,Jun-25,AQA,GCSE,8261/X,Arts,Drama,Drama,Non-exam assessment - Texts in practice,,,
08/05/2025,Jun-25,AQA,GCSE,8261/W,Arts,Drama,Drama,Understanding drama,AM,1h 45m,
08/05/2025,Jun-25,OCR,GCSE,J316/04,Arts,Drama,Drama,Drama: Performance and response,AM,1h 30m,
14/05/2025,Jun-25,AQA,GCSE,8136/1,Maths,Economics,Economics,Paper 1 - How markets work,PM,1h 45m,
22/05/2025,Jun-25,AQA,GCSE,8136/2,Maths,Economics,Economics,Paper 2 - How the economy works,PM,1h 45m,
14/05/2025,Jun-25,OCR,GCSE,J205/01,Maths,Economics,Economics,Introduction to Economics,PM,1h 30m,
22/05/2025,Jun-25,OCR,GCSE,J205/02,Maths,Economics,Economics,National and International Economics,PM,1h 30m,
08/05/2025,Jun-25,Eduqas,GCSE,C490UA0,DT,Electronics,Electronics,Component 1,PM,1h 30m,
16/05/2025,Jun-25,Eduqas,GCSE,C490U20,DT,Electronics,Electronics,Component 2,PM,1h 30m,
07/05/2025,Jun-25,AQA,GCSE,8852/C,DT,Engineering,Engineering,Non-exam assessment,,,
02/06/2025,Jun-25,AQA,GCSE,8852/W,DT,Engineering,Engineering,Written,PM,2h,
13/05/2025,Jun-25,OCR,CAMBRIDGE NATIONAL,R038/01,DT,Engineering Design,Engineering Design,Principles of engineering design:Written Paper,AM,1h 15m,
03/06/2025,Jun-25,OCR,CAMBRIDGE NATIONAL,R014/01,DT,Engineering Manufacture,Engineering Manufacture,Principles of engineering manufacture:Written Paper,PM,1h 15m,
12/06/2025,Jun-25,OCR,CAMBRIDGE NATIONAL,R047/01,DT,Engineering Programmable Systems,Engineering Programmable Systems,Principles of electronic and programmable systems:Written Paper,PM,1h 15m,
23/05/2025,Jun-25,Eduqas,GCSE,C700U10,English,English Language,English Language,Component 1,AM,1h 45m,
06/07/2025,Jun-25,Eduqas,GCSE,C700U20,English,English Language,English Language,Component 2,AM,2h,
23/05/2025,Jun-25,Pearson,GCSE,1EN0 01,English,English Language,English Language,Paper 1: Fiction and Imaginative Writing,AM,1h 45m,
06/06/2025,Jun-25,Pearson,GCSE,1EN0 02,English,English Language,English Language,Paper 2: Non-Fiction and Transactional Writing,AM,2h 05m,
07/05/2025,Jun-25,AQA,GCSE,8700/C,English,English Language,English Language,Non-exam assessment: Spoken Language,,,
23/05/2025,Jun-25,AQA,GCSE,8700/1,English,English Language,English Language,Explorations in creative reading and writing,AM,1h 45m,
06/06/2025,Jun-25,AQA,GCSE,8700/2,English,English Language,English Language,Writers' viewpoints and perspectives,AM,1h 45m,
23/05/2025,Jun-25,OCR,GCSE,J351/01,English,English Language,English Language,Communicating information and ideas,AM,2h 00m,
06/06/2025,Jun-25,OCR,GCSE,J351/02,English,English Language,English Language,Exploring effects and impact,AM,2h 00m,
23/05/2025,Jun-25,Pearson,GCSE,1EN2 01,English,English Language,English Language 2.0,Paper 1: Non-Fiction Texts,AM,1h 55m,
06/06/2025,Jun-25,Pearson,GCSE,1EN2 02,English,English Language,English Language 2.0,Paper 2: Contemporary Texts,AM,1h 55m,
12/05/2025,Jun-25,Eduqas,GCSE,C720U10,English,English Literature,English Literature,Component 1,AM ,2h,
20/05/2025,Jun-25,Eduqas,GCSE,C720U20,English,English Literature,English Literature,Component 2,AM,2h 30m,
12/05/2025,Jun-25,Pearson,GCSE,1ET0 01,English,English Literature,English Literature,Paper 1: Shakespeare and Post-1914 Literature,AM,1h 45m,
